TEXTFILE_FILTER,文本文件(*.txt;*.csv)|*.txt;*.csv||,Text File(*.txt;*.csv)|*.txt;*.csv||,文字檔案(*.txt;*.csv)|*.txt;*.csv||
CONTEXTMENU_AUTO_ADJUST_COL_WIDTH,自动调整列宽,Auto Adjust Column Width,自動調整列寬
STATIC_LIMITPRICE_TEXT          ,限价:,Limit Price:,限價:
STATIC_AUTOLIMITPRICE_TEXT          ,指定价:,Limit Price:,指定價:
STATIC_AUTOMARKETPRICE_TEXT          ,跟盘价:,Market Price:,跟盤價:
STATIC_ACCOUNT_TEXT          ,帐号:,Account:,帳號:
ASKNAMEDLG_TITLE               ,保存当前配置,Save Style,保存當前配置
ASKNAMEDLG_STATIC               ,保存名称:,Name:,保存名稱:
ASKNAMEDLG_DEL                  ,删除,Delete,刪除
ASKNAMEDLG_ADD                 ,添加,Add,添加
ASKNAMEDLG_OK                  ,确定,OK,確定
ASKNAMEDLG_CANCEL                ,取消,Cancel,取消
TRADING_NOTICE_TITLE             ,通知,Notice,通知
HISTORY_SETTLE_DLG_CAPTION       ,历史结算结果查询,History Settlement,歷史結算結果查詢
OLS_VIRTUAL_KEYBOARD,虚拟键盘,Virtual KeyBoard,虛擬鍵盤
OLS_ACCOUNT,帐号:,Account:,帳號:
OLS_ASK_FD,卖%d  ,Ask%d,賣%d  
OLS_ASKPRICE,卖一价,AskPrice,賣一價
OLS_AUTO,自动:,Auto:,自動:
OLS_B_S_PRICE2,买卖价,B/S Price,買賣價
OLS_BUY_SELL,买卖:,B/S:,買賣:
OLS_DIRECTION,买卖方向,Direction,買賣方向
OLS_B_S_PRICE3,买卖价,B/S Price,買賣價
OLS_BATCH,批量下单,Batch,批量下單
OLS_BID_FD,买%d  ,Bid%d  ,買%d  
OLS_BIDPRICE,买一价,BidPrice,買一價
OLS_BUY,买入,Buy,買入
OLS_CANCEL,清空手数,Enpty QTY,清空手數
OLS_CLOSE,平仓,Close,平倉
OLS_CLOSE_MODE,平仓方式,Close Mode,平倉方式
OLS_CLOSE_TODAY,平今,Close Today,平今
OLS_CONDITION,下条件单,Condition,下條件單
OLS_CONDITION_SEND_ORDER,条件委托,Condition Send Order,條件委託
OLS_CONTRACT,合约:,Contract:,合約:
OLS_FIVE_PRICE_LIST,五档行情,Five Price List,五檔行情
OLS_HEDGE,保值,Hedge,保值
OLS_ARBITRAGE,套利,Arbitrage,套利
OLS_SPECULATION,投机,Speculation,投機
OLS_SPECULATE,投机,Speculate,投機
OLS_INTERVAL_SEC,批次间隔[秒],Interval Sec,批次間隔[秒]
OLS_LAST,最新 ,Last,最新 
OLS_LASTPRICE2,最新价,LastPrice,最新價
OLS_LASTPRICE3,最新价,LastPrice,最新價
OLS_LOWER,跌停 ,Lower ,跌停 
OLS_MOST_TOP_WINDOW,前端窗口,Most Top Window,前端窗口
OLS_NEW_ORDER,下单,New Order,下單
OLS_OPENCLOSE,开平:,O/C:,開平:
OLS_ON,按,On,按
OLS_OP_LARGE,大于,>,大於
OLS_OP_LARGEEQU,大于等于,>=,大於等於
OLS_OP_SM,小于,<,小於
OLS_OP_SMEQU,小于等于,<=,小於等於
OLS_OPEN,开仓,Open,開倉
OLS_ORDER_CONFIRM,委托确认,Order confirm,委託確認
OLS_ORDER_PRICE,委托价,Order Price,委託價
OLS_ORDERTYPE_LIMIT,报单类型: 限价单,OrderType: Limit,報單類型: 限價單
OLS_ORDERTYPE_MARKET,报单类型: 市价单,OrderType: Market,報單類型: 市價單
OLS_ORDERTYPE_STOP,报单类型: 停止单,OrderType: Stop,報單類型: 停止單
OLS_ORDERTYPE_STOP_LIMIT,报单类型: 停止限价单,OrderType: Stop Limit,報單類型: 停止限價單
OLS_PARK,预埋,Park,預埋
OLS_PLEASE_INPUT_VERIFICATION,请输入验证码!,Please input Verification!,請輸入驗證碼!
OLS_PRICE,价格,Price,價格
OLS_INPUTPRICE,输入价,Price,輸入價
OLS_PRICE3,价格:,Price:,價格:
OLS_PRICE_LIMIT,反向涨跌停价,Price Limit,反向漲跌停價
OLS_QTY,手数:,QTY:,手數:
OLS_QTY_EACH,每批手数,Qty each,每批手數
OLS_REPLACE_CURRENT_ORDER,修改当前报单,Replace current order,修改當前報單
OLS_REVERSE,反向加减,Reverse,反向加減
OLS_RUN_IN_SERVER,在服务器上运行,Run in Server,在伺服器上運行
OLS_SELL,卖出,Sell,賣出
OLS_SEND_ORDER_FAIL,下单失败,Send order fail,下單失敗
OLS_CANCEL_ORDER_FAIL,撤单失败,Cancel order fail,撤單失敗
OLS_SET_OFFSET,偏移设置,Set Offset,偏移設置
OLS_STOP,停止,Stop,停止
OLS_STOP_L,止损价差,Stop L,止損價差
OLS_STOP_LIMIT,停止限价,Stop Limit,停止限價
OLS_STOP_ORDER,下停止单,Stop Order,下停止單
OLS_PROFIT_ORDER,下盈损单,Profit Order,下盈損單
OLS_STOP_P,止盈价差,Stop P,止盈價差
OLS_STOP_P_L,止盈止损,Stop P&L,止盈止損
OLS_T_PRICE,跟盘:,T Price:,跟盤:
OLS_TRADE_PRICE,成交价,Trade Price,成交價
OLS_TRIGGER_CONDITION_TYPE,触发价格类型,Trigger Condition Type,觸發價格類型
OLS_TRIGGER_PRICE,触发价格,Trigger Price,觸發價格
OLS_UPPER,涨停 ,Upper ,漲停 
OLS_MARKET,市价,MKT,市價
OLS_ARBITRAGE,套利,Arbitrage,套利
EOCD_BUYSELL_B,买卖:  买入,BS:  BUY,買賣:  買入
EOCD_BUYSELL_S,买卖:  卖出,BS:  SELL,買賣:  賣出
EOCD_CONTACT,合约:  %s,Cont:  %s,合約:  %s
EOCD_ECLCO,编辑当前本地条件单: %d,Edit current local condition order: %d,編輯當前本地條件單: %d
EOCD_FCOSID,快速改单，报单编号: %s,Fast Change，Order SysID: %s,快速改單，報單編號: %s
EOCD_HEDG_H,投保:  保值,HEDG:  HEDG,投保:  保值
EOCD_HEDG_S,投保:  投机,HEDG:  SEPC,投保:  投機
EOCD_OCT_C,开平:  平仓,OC:  CLOSE,開平:  平倉
EOCD_OCT_O,开平:  开仓,OC:  OPEN,開平:  開倉
EOCD_OCT_T,开平:  平今,OC:  CLOSE TODAY,開平:  平今
EOCD_ORDERNO,单号:  %s,OrdN:  %s,單號:  %s
EOPD_ECLPO,编辑当前本地预埋单: %d,Edit current local parking order: %d,編輯當前本地預埋單: %d
EOPD_ECLSO,编辑当前本地止盈止损单: %d,Edit current local stop P & L order: %d,編輯當前本地止盈止損單: %d
ID_QUERY_ACCOUNTBTN,查询,Query,查詢
MAINFRAME_TITLE,中国国际期货网上交易终端,CIFCO FastTrader Client,中國國際期貨網上交易終端
OBD_GROUPNO,组号: %d,GrpN: %d,組號: %d
OBD_LMTPRC,价格: %0.2f,Pric: %0.2f,價格: %0.2f
OBD_LMTPRC_STR,价格: %s,Pric: %s,價格: %s
OBD_MKTPRC,价格: 市价,Pric: MKT,價格: 市價
OBD_QTY,数量: %d,QTY: %d,數量: %d
OIP_ACTIVE,激活,Active,啟動
OIP_ASKPRICE,卖一价,Ask1Price,賣一價
OIP_BATCHCONF,批量单下单确认,Bacth order confirm,批量單下單確認
OIP_BIDPRICE,买一价,Bid1Price,買一價
OIP_CHGPARKORDER,预埋单转换成功,Parking order convert OK,預埋單轉換成功
OIP_CHGPARKORDERFAIL,预埋单转换失败,Parking order convert fail,預埋單轉換失敗
OIP_COMPLETE,完成,Complete,完成
OIP_CONDITIONCONF,条件下单确认,Condition order confirm,條件下單確認
OIP_CONDITIONMEETCONF,当前行情已满足条件，是否直接下单？,"Conditions have been met, Would you order limit order?",當前行情已滿足條件，是否直接下單？
OIP_CONDITIONPRCNOT0,条件价格必须大于0,condition price must > 0,條件價格必須大於0
OIP_CONTRERR,合约代码有误,ContractID is invalid,合約代碼有誤
OIP_COMBNOSUPPORT,盈损单不支持组合合约,Profit-loss orders do not support the combination contract,盈損單不支持組合合約
OIP_DELETEED,撤单,Deleted,撤單
OIP_ERROR,错误,Error,錯誤
OIP_FASTTRADER,中国国际期货网上交易终端,CIFCO FastTrader,中國國際期貨網上交易終端
OIP_FASTTRADER_Option,中国国际期货期权交易终端,CIFCO Option FastTrader,中國國際期貨期權交易終端
OIP_FILLED,已成交,filled,已成交
OIP_FRORDER,快速改单,fast replace order,快速改單
OIP_LASTPRICE,最新价,LastPrice,最新價
OIP_LOCALCONDORD,本地条件单:% 12d,Local Cond Order:% 12d,本地條件單:% 12d
OIP_LRTSFC,限价，平仓反向价差 = %0.2f,Limit，Reverse the spread for close = %0.2f,限價，平倉反向價差 = %0.2f
OIP_NOFILL,未成交,No fill,未成交
OIP_NOSEND,未发送,No send,未發送
OIP_NOTOUCH,未触发,No touch,未觸發
OIP_TOUCHED,已触发,Touched,已觸發
OIP_ALLTRADED,全部成交,All Traded,全部成交
OIP_PARTTRADEDQUEUEING,部分成交在队列中,Part trade in queue,部分成交在佇列中
OIP_PARTTRADEDNOTQUEUEING,部分成交不在队列中,Part trade no in queue,部分成交不在佇列中
OIP_NOTRADENOTQUEUEING,未成交不在队列中,No trade no in queue,未成交不在佇列中
OIP_NOTRADEQUEUEING,未成交在队列中,No trade in queue,未成交在佇列中
OIP_ORDERCONF,委托确认,Order confirm,委託確認
OIP_OVERLIMITPRICE,您的下单价格超过限制，是否继续下单？,Order price over limit，Would you bo going?,您的下單價格超過限制，是否繼續下單？
OIP_OVERLIMITPRICE_UL,您的下单价格超过涨跌停价，是否继续下单？,Order price over limit，Would you bo going?,您的下單價格超過漲跌停價，是否繼續下單？
OIP_OVERLIMITQTY,您的下单手数超过限制，是否继续下单？,Order QTY over limit，Would you be going?,您的下單手數超過限制，是否繼續下單？
OIP_PARKCONF,预埋确认,Parking confirm,預埋確認
OIP_PAUSE,暂停,Pause,暫停
OIP_CONTINUE,继续,Continue,繼續
OIP_PLCONF,盈损下单确认,P & L order confirm,盈損下單確認
OIP_PRCDELTABIGZERO,止盈价差必须大于0,Must only profit price offset > 0,止盈價差必須大於0
OIP_QTYBIGZERO,下单手数必须大于0,Order QTY must >= 0,下單手數必須大於0
OIP_RESPFAIL,委托失败,Response fail,委託失敗
OIP_RESPOK,委托成功,Response success,委託成功
OIP_SENDED,已发送,Sent,已發送
OIP_SENDPARKORDER,下预埋单成功,Send parking order OK,下預埋單成功
OIP_SENDPARKORDERFAIL,下预埋单失败,Send parking order fail,下預埋單失敗
OIP_SERVERCANCEL,服务器预埋撤单:%s,Server cancel:%s,伺服器預埋撤單:%s
OIP_SERVERCONDORD,服务器条件单:%s,Server condition order:%s,伺服器條件單:%s
OIP_SNEDFAIL,发送失败,Send fail,發送失敗
OIP_SNEDOK,发送成功,Send OK,發送成功
OIP_SOF,下单失败,Send order fail,下單失敗
OIP_SOPPO,请选择止盈价差,Select only profit price offset,請選擇止盈價差
OIP_STEOPPRCBIGZERO,止损价差必须大于0,Must stop price offset > 0,止損價差必須大於0
OIP_STOPCONF,止损下单确认,Stop order confirm,止損下單確認
OIP_SUBMITORDER,提交报单,Submited Order,提交報單
OIP_SYSCANCEL,已取消,cancel,已取消
PRE_POSITION,昨仓,Pre Position,昨倉
TODAY_POSITION,今仓,Today Position,今倉
GID_ACCOUNT_CAPTION,资金,Trading Account,資金
GID_QUOT_TABLE_CAPTION,报价表,Quot List,報價表
GID_INSTRUMENT_CAPTION,合约,InstrumentID List,合約
GID_OPEN_ORDER_CAPTION,挂单,Order Open,掛單
GID_ALL_ORDER_CAPTION,委托,Order All,委託
GID_ORDER_INSERT_PANEL_CAPTION,下单板,New Order Panel,下單板
GID_POSITIONALL_CAPTION,持仓,Position,持倉
GID_POSITION_CAPTION,持仓,Position,持倉
GID_POSITION_DETAIL_CAPTION,持仓明细,Position Detail,持倉明細
GID_THRADE_RECORD_CAPTION,成交,Trading Record,成交
GID_QUERY_ORDER_BATCH_CAPTION,批量,Query Batch Order,批量
GID_QUERY_ORDER_CONDITION_CAPTION,条件,Query Condition Order,條件
GID_QUERY_ORDER_POSITION_CAPTION,盈损,Query Stop Order,盈損
GID_QUERYLOCAL_ORDER_CAPTION,扩展,extend,擴展
GID_QUERY_ORDER_PARKED_CAPTION,预埋,Query Parking Order,預埋
GID_COMBO_POSITION_CAPTION,组合持仓,Combo position,組合持倉
GID_MULTI_ACCOUNT_CAPTION,多账号,Multi Account,多帳號
GID_MULTI_POSITION_CAPTION,持仓汇总,Multi Position,持倉匯總
DELAYLOCKED,300秒后锁屏,Delay Locked,300秒後鎖屏
TOPMOST,置顶,Top Most,置頂
TRADE_TIME_START_AND_END_PROMPT,开盘收盘及小结休息的声音提示:,Trade Start End And Middle Rest Prompt:,開盤收盤及小結休息的聲音提示:
VIDEOINFO,视频资讯,Video Info,視頻資訊
ID_SELECT_ACCOUNT,账户：,Account:,帳戶：
ID_CONFIG_SUNGARD,设置(&C),&Configuration,設置(&C)
ID_HELP_CAPTION,帮助(&H),&Help,説明(&H)
ID_OPTION_CAPTION,交易风格切换(&L),Sty&le,交易風格切換(&L)
ID_ORDER_SUNGARD,下单(&O),&Order,下單(&O)
ID_POSITION_CAPTION,扩展功能(&X),E&xtension,擴展功能(&X)
ID_QUERY_SUNGARD,查询(&Q),in&quiry,查詢(&Q)
ID_REPORT_CAPTION,报告(&R),&Report,報告(&R)
ID_SYSTEM_CAPTION,系统(&S),&System,系統(&S)
ID_SYSTEM_SUNGARD,系统(&S),&System,系統(&S)
ID_TRANSFER_CAPTION,银期转账(&B),&Transfer,銀期轉賬(&B)
ID_TRANSFER_SUNGARD,转账(&T),&Transfer,轉賬(&T)
ID_CONFIG_SUNGARD_ACCE,数字快捷键(&A),&Accelerator,數字快捷鍵(&A)
ID_CONFIG_OPTION_CAPTION,选项设置(&C),&Configuration,選項設置(&C)
ID_CONFIG_SUNGARD_ORDER,委托参数(&O),&Order parameter,委託參數(&O)
ID_CONFIG_SUNGARD_PASSWORD,修改密码(&P),Modify &Password,修改密碼(&P)
ID_CONFIG_SAVE_CAPTION,保存当前交易风格(&S),&Save Style,保存當前交易風格(&S)
ID_CONFIG_SUNGARD_SELECT,自选合约(&M),&Myself contract,自選合約(&M)
ID_CONFIG_SUNGARD_SYSTEM,系统参数(&S),&System parameter,系統參數(&S)
ID_CONFIG_OPTIONUI_DarkBackground,深色背景,Dark Background,深色背景
ID_CONFIG_OPTIONUI_LightBackground,浅色背景,Light Background,淺色背景
ID_DEFAULT_CONFIG_CAPTION,恢复默认配置(&D),&Default configuration,恢復默認配置(&D)
ID_HELP_CONTENT_CAPTION,使用说明(&H),&Help,使用說明(&H)
ID_HELP_SUNGARD_DOC,帮助文档(&D),&Document,説明文檔(&D)
ID_HELP_SUNGARD_LOG,打开日志(&L),&Log,打開日誌(&L)
ID_LOCK_FRAME_CAPTION,锁定软件(&L),&Lock,鎖定軟體(&L)
ID_SYSTEM_SUNGARD_LOCK,立即锁屏(&L),&Lock,立即鎖屏(&L)
ID_SYSTEM_SUNGARD_RELOGIN,重新登录(&R),Logon again,重新登錄(&R)
ID_MODIFY_PSW_CAPTION,修改密码(&P),Modify &Password,修改密碼(&P)
ID_MONTH_REPORT_CAPTION,报告-最近一月,Report-Month,報告-最近一月
ID_ORDER_SUNGARD_BATCH,批量下单(&B),&Batch Order,批量下單(&B)
ID_ORDER_SUNGARD_CONDITION,条件单(&C),&Condition Order,條件單(&C)
ID_ORDER_SUNGARD_STOP,盈损单(&P),&Stop Order,盈損單(&P)
ID_ORDER_SUNGARD_SMALLWIN,小窗委托(&W),Popup &Window,小窗委託(&W)
ID_ORDER_SUNGARD_STANDARD,标准下单(&S),&Standard Order,標準下單(&S)
ID_ORDER_FAKFOK_T,FAK/FOK(&F),&FAK/FOK,FAK/FOK(&F)
ID_POSITION_MOVE_CAPTION,移仓(&M),&Move Position,移倉(&M)
ID_POSITION_SWAP_CAPTION,换仓(&S),&Swap Position,換倉(&S)
ID_QRY_ACCOUNT_CAPTION,查期货账户资金(&F),Account &Funds,查期貨帳戶資金(&F)
ID_QRY_SETTLE_CAPTION,查历史结算单(&H),&History Settlement,查歷史結算單(&H)
ID_QUERY_SUNGARD_SETTLEMENT,结算单(&S),&Settlement,結算單(&S)
ID_QUERY_SUNGARD_WITHDRAW,出入金(&D),With&draw,出入金(&D)
ID_TODAY_REPORT_CAPTION,报告-今日,Report-Today,報告-今日
ID_TRADE_REPORT_CAPTION,账户和交易报告,Account Report,帳戶和交易報告
ID_TRANSFER_ITEM_CAPTION,银期转账(&B)...,&Bank Transfer...,銀期轉賬(&B)...
ID_TRANSFER_SUNGARD_BANK,银期转账(&B),&Bank Transfer,銀期轉賬(&B)
ID_WEEK_REPORT_CAPTION,报告-最近一周,Report-Week,報告-最近一周
ID_ABOUT_CAPTION,关于(&A)...,&About...,關於(&A)...
ID_EXIT_CAPTION,退出(&X),E&xit,退出(&X)
ID_SYSTEM_SUNGARD_EXIT,退出系统(&X),E&xit,退出系統(&X)
ID_CONFIG_LOAD_CAPTION,加载交易风格(&L),&Load Style,載入交易風格(&L)
ID_ORDER_SUNGARD_SMALLWIN_T,小窗委托,Popup Window,小窗委託
ID_ORDER_SUNGARD_STANDARD_T,标准下单,Standard Order,標準下單
ID_ORDER_SUNGARD_BATCH_T,批量下单,Batch Order,批量下單
ID_ORDER_SUNGARD_CONDITION_T,条件单,Condition Order,條件單
ID_ORDER_SUNGARD_STOP_T,盈损单,Stop Order,盈損單
ID_ORDER_STOPLIMIT_T,停止单,Stop Limit Order,停止單
CONTEXTMENU_COLUMNCONFIG,表格列设置,Column configuration,表格列設置
CONTEXTMENU_FUNDSTYLECHANGE2H,变成横条样式,To ToolBar Style,變成橫條樣式
CONTEXTMENU_FUNDSTYLECHANGE2T,变成页签样式,To TabCtrl Style,變成頁簽樣式
CONTEXTMENU_EXPORT,导出列表,Export,導出列表
CONTEXTMENU_REMOVE,撤单,Cancel,撤單
CONTEXTMENU_REMOVEALL,全撤,Cancel All,全撤
CONTEXTMENU_CHANGEORDER,快速改单,Modify Order,快速改單
CONTEXTMENU_PRICEBACKHAND,市价反手,Price Backhand,市價反手
CONTEXTMENU_AUTO_ADJUST_COL_WIDTH,自动调整列宽,Auto Adjust Column Width,自動調整列寬
CONTEXTMENU_FASTCLOSE,快捷平仓,Fast Close,快捷平倉
CONTEXTMENU_FASTLOCK,快捷锁仓,Fast Lock,快捷鎖倉
CONTEXTMENU_QP_BUTTONQUERY,查询(&Q),&Query,查詢(&Q)
CONTEXTMENU_QP_BUTTONEDIT,编辑(&E),&Edit,編輯(&E)
CONTEXTMENU_QP_BUTTONDELETE,撤单(&D),&Cancel,撤單(&D)
CONTEXTMENU_QP_BUTTONCLEAR,全部撤单(&C),&Clear,全部撤單(&C)
CONTEXTMENU_QP_BUTTONPAUSE,暂停(&P),&Pause,暫停(&P)
CONTEXTMENU_QP_BUTTONACTIVE,激活(&A),&Active,啟動(&A)
CONTEXTMENU_QP_BUTTONDONOW,立即执行(&X),E&xecute,立即執行(&X)
CONTEXTMENU_ADDTOMYSELF,添加到...,Add to...,添加到...
CONTEXTMENU_SELECTINSTRUMENT,设置自选合约,Myself contract,設置自選合約
CONTEXTMENU_PROFIT,下盈损单,Profit Order,下盈損單
CONTEXTMENU_CONDITION,下条件单,Condition Order,下條件單
CONTEXTMENU_Statisticsofnumber,统计数量,Statistics of number,統計數量
IDT_INSTRUMENTGROUP,品种和合约,class and contract,品種和合約
IDT_SELFGROUP,自选合约,Myself contract,自選合約
IDT_VARIETYINFOSET,品种设置,Class setup,品種設置
IDT_GROUPSET,合约组设置,Group setup,合約組設置
IDT_SHOW,显示,display,顯示
IDT_FONTANDCOLOR,表格字体颜色,table font and color,表格字體顏色
IDT_OPENORDER,下单,order,下單
IDT_GENERALSET,常规,general,常規
IDT_AUTOOPENCLOSESET,自动开平,auto open and close,自動開平
IDT_KEYBOARDOPENODER,键盘快速下单,add order by keyboard,鍵盤快速下單
IDT_MOUSEOPENORDER,鼠标快速下单,add order by mouse,滑鼠快速下單
IDT_ADVANCEDSET,高级,advance,高級
IDT_GENERALCANCELORDER,撤单,cancel order,撤單
IDT_RISKMANAGER,风险管理,risk manager,風險管理
IDT_PROMPT,提示及反馈,prompt,提示及回饋
IDT_TABLESET,表格设置,columen setup,表格設置
IDT_QUOTETABLE,报价表,Quot List,報價表
IDT_TRADERECORD,成交,Trading Record,成交
IDT_TRADESTATISTIC,成交统计,Trading Record sum,成交統計
IDT_POSITION,持仓,position,持倉
IDT_COMBOPOSITION,组合持仓,Combo position,組合持倉
IDT_POSITIONDETAIL,持仓明细,position detail,持倉明細
IDT_INSTRUMENTLIST,合约,instrument list,合約
IDT_ALLORDER,委托,order all,委託
IDT_WAITTRADE,挂单,order open,掛單
IDT_PARKEDORDER,预埋,parkiing order,預埋
IDT_ACCOUNT,资金,Trading Account,資金
IDT_QUERYORDERBATCH,批量,batch order,批量
IDT_QUERYORDERCONDITION,条件,condition order,條件
IDT_QUERYORDERPOSITION,盈损,stop order,盈損
IDT_ORDERINSERT,下单面板,Order Insert,下單面板
IDT_ORDERPLDETAIL,盈损明细,P&L Detail,盈損明細
USERLOGINDLG_EXIT,退出,Exit,退出
USERLOGINDLG_LOGIN,登录,Login,登錄
USERLOGINDLG_SAVEACCOUNT,保存账户,Save Account,保存帳戶
USERLOGINDLG_ACCOUNT,用户代码:,Account,用戶代碼:
USERLOGINDLG_ERROR,错误,Error,錯誤
USERLOGINDLG_FINSIH,同步完成,Finish successfully,同步完成
USERLOGINDLG_INFORMATION,提示,Information,提示
USERLOGINDLG_FAILED,用户登录失败,Login Failed,用戶登錄失敗
USERLOGINDLG_TITLE,用户登录,User Login,用戶登錄
USERLOGINDLG_LOGINING,开始登录...,Login...,開始登錄...
USERLOGINDLG_PASSWORD,用户密码:,Password,用戶密碼:
USERLOGINDLG_INPUTACCOUNT,请输入用户代码!,Please input Account!,請輸入用戶代碼!
USERLOGINDLG_PROGRESS,登录进度:,Progress,登錄進度:
USERLOGINDLG_QRYSTL,查询结算...,Query Settlement,查詢結算...
USERLOGINDLG_QRYINST,查询合约...,Query Instruments,查詢合約...
USERLOGINDLG_QRYDEPTHMARKETDATA,查询行情...,Query DepthMarketData,查詢行情...
USERLOGINDLG_QRYFUND,查询资金...,Query Fund,查詢資金...
USERLOGINDLG_QRYTRADER,查询成交...,Query Trade Records,查詢成交...
USERLOGINDLG_QRYPOS,查询持仓...,Query Positions,查詢持倉...
USERLOGINDLG_QRYPOSDETA,查询持仓明细...,Query Detail Positions,查詢持倉明細...
USERLOGINDLG_QRYPOSCOMB,查询组合持仓...,Query Comb Positions,查詢組合持倉...
USERLOGINDLG_QRYORDER,查询报单...,Query Orders,查詢報單...
USERLOGINDLG_QRYCONTRACTBANK,......,Query Orders,......
USERLOGINDLG_DYNAMICPWD,动态密码:,Safe Code,動態密碼:
USERLOGINDLG_SERVER,服务器:,Server,伺服器:
USERLOGINDLG_QRYTIMEOUT,查询超时,Query timeout,查詢超時
USERLOGINDLG_LOGINTIMEOUT,登录超时,Login timeout,登錄超時
USERLOGINDLG_VERIFYERROR,验证码错误!,Verification is mismatch.,驗證碼錯誤!
USERLOGINDLG_VERIFICATION,验证码:,Verification,驗證碼:
ZQ_SYSDIR_READONLY,安装目录为只读，系统无法启动！,"The system directory is not writeable, system cannot start!",安裝目錄為唯讀，系統無法啟動！
CONFIRMATIONLG_OK,确认,Confirm,確認
CONFIRMATIONLG_CANCEL,不确认,No Confirm,不確認
ID_PLUSIN_CAPTION,高级(&A),Advance(&A),高級(&A)
ID_PLUSIN_MANAGER_CAPTION,插件管理(&P),&Plus-in,插件管理(&P)
DISCONNECTED_PROMPT_TEXT,"网络连接已中断,正在自动重连",Network disconnect.Client reconnect automatically now,"網路連接已中斷,正在自動重連"
DISCONNECTED_PROMPT_TITLE,网络连接中断,Network disconnect,網路連接中斷
ID_QUERY_TRADER,查询账号,Query Trader,查詢帳號
ID_QUERY_EXCHANGE,查询交易所,Query Exchange,查詢交易所
ID_QUERY_CONTRACT,查询合约,Query Contract,查詢合約
ID_QUERY_COMMODITY,查询商品,Query Commodity,查詢商品
ID_QUERY_ORDERTYPE,查询报单类型,Query OrderType,查詢報單類型
ID_QUERY_POSITION,查询账户持仓,Query Account Position,查詢帳戶持倉
ID_QUERY_REPORT,查询报告,Query Report,查詢報告
ID_QUERY_EXCHANGE_RATE,查询汇率,Query Exchange Rate,查詢匯率
EXCHANGE_RATE_CURRENCY,货币,Currency,貨幣
EXCHANGE_RATE,汇率,Exchange Rate,匯率
ID_REPORT_TYPE,报告类型,Report Type,報告類型
CHANGEPASSWORD,修改密码,Change Password,修改密碼
OLDPWD,旧密码,Old PWD,舊密碼
NEWPWD,新密码,New PWD,新密碼
PWDCONFIRM,确认密码,PWD Confirm,確認密碼
OK,确认,OK,確認
CANCEL,取消,Cancel,取消
PWDNOTEMPTY,密码不能为空,Password can not be empty,密碼不能為空
PWDNOTSAME,两次输入密码不一致,The two new passwords are not the same,兩次輸入密碼不一致
PWDNOTCHANGE,新旧密码不能一样,The new password can not be the same as the old one,新舊密碼不能一樣
PWNNOTALPHA,密码必须是数字和字母组合，且第一位必须为字母,"Password must be numbers and letters combination, and the first word must be a letter",密碼必須是數位和字母組合，且第一位必須為字母
FILEVERSION,文件版本:,File Version：,檔版本:
